Ryan Shawcross
Dean Whitehead
Peter Crouch
Jonathan Walters
Martin Cranie
Jamaal Lascelles
Adrian Mariappa
Jonathan Hogg
Troy Deeney
Ashley Westwood
Ben Mee
Kieran Trippier
Charlie Austin
Danny Ings
Jay Rodriguez
Junior Stanislas
Tom Carroll
Jeff Hendrick
Will Hughes
Adel Taarabt
Lewis Dunk
Ashley Barnes
Sam Vokes
Charlie Taylor
Nahki Wells
Yannick Bolasie
Chris Wood
Matt Ritchie
Steve Cook
Simon Francis
Scott Malone
Harry Arter
Charlie Daniels
Marc Pugh
John Stones
Craig Cathcart
Matt Phillips
Tom Ince
James Tarkowski
Saido Berahino
Liam Rosenior
Robbie Brady
Josh King
Jordon Ibe
Kevin Long
Francis Benali
Sam Clucas
Andre Gray
Suso
Raheem Sterling
Tommy Smith
Moussa Dembélé
Marcello Trotta
Scott Arfield
Callum Wilson
Dwight Gayle
Jamie Vardy
Connor Goldson
Dele Alli
Freddie Ladapo
Sebastian Prödl
Marko Arnautović
Toni Kroos
Cristian Molinaro
Antonio Rüdiger
Zdravko Kuzmanović
Shinji Okazaki
Chris Löwe
İlkay Gündoğan
Ivan Perišić
Takashi Inui
Sergio Escudero
Christian Fuchs
Benedikt Höwedes
Jurado
Sead Kolašinac
Joel Matip
Muhamed Bešić
Tomás Rincón
José Sala
Son Heung-Min
Ricardo Rodríguez
Mario Mandžukić
Mame Biram Diouf
Eric Maxim Choupo-Moting
Antonio Rukavina
Christopher Schindler
Uwe Hünemeier
Johannes Geis
Michael Hefele
Hakan Çalhanoğlu
Pascal Groß
Roberto Firmino
Danny Williams
Elias Kachunga
Collin Quaner
Oliver Kragl
Emre Can
Ignazio Abate
Daniele Bonera
Mattia De Sciglio
Alberto Aquilani
Stefano Calvano
Bryan Cristante
Mathieu Flamini
Sulley Muntari
Mattia Valoti
Stephan El Shaarawy
Zlatan Ibrahimović
Maxi López
Nicolás Burdisso
Simon Kjær
Aleandro Rosi
José Ángel
Daniele De Rossi
Erik Lamela
Miralem Pjanić
Valerio Verre
Federico Viviani
Fabio Borini
Bojan
Andrea Barzagli
Leonardo Bonucci
Martín Cáceres
Giorgio Chiellini
Stephan Lichtsteiner
Emanuele Giaccherini
Claudio Marchisio
Simone Padoin
Marco Borriello
Alessandro Matri
Fabio Quagliarella
Massimo Gobbi
Sergio Floccari
Stefano Okaka
Raffaele Palladino
Michele Bianchetti
Davide Faraoni
Yuto Nagatomo
Juan Jesus
Andrea Ranocchia
Ricky Álvarez
Joel Obi
Lorenzo Crisetig
Andrea Poli
Giampaolo Pazzini
Ştefan Radu
Antonio Candreva
Senad Lulić
Dusan Basta
Medhi Benatia
Danilo
Kwadwo Asamoah
Roberto Pereyra
Alberto Costa
Shkodran Mustafi
Pedro Obiang
Roberto Soriano
Eder
Francesco Acerbi
Marco Andreolli
Bruno Cesar
Dario Dainelli
Boukary Dramé
Perparim Hetemaj
Luca Rigoni
Alberto Paloschi
Sergio Pellissier
Cyril Théréau
Gastón Ramírez
Saphir Taïder
Sebastien De Maio
Bartosz Salamon
Nenad Tomović
Andrea Bertolacci
Juan Cuadrado
Luis Muriel
Luca Rossettini
Mattia Destro
Matías Aguirregaray
Emanuel Muñoz
Matías Silvestre
Afriyie Acquah
Andrea Barberis
Edgar Barreto
Josip Iličić
Franco Vázquez
Andrea Masiello
Federico Peluso
Giacomo Bonaventura
Luca Cigarini
Ezequiel Schelotto
Manolo Gabbiadini
Davide Astori
Nicola Murru
Andrea Cossu
Daniele Dessena
Radja Nainggolan
Pasquale Schiattarella
Lorenzo De Silvestri
Felipe
Alessandro Gamberini
Rômulo
Valon Behrami
Adem Ljajić
Riccardo Montolivo
Alessio Cerci
Ryder Matos
Elseid Hysaj
Vasco Regini
Lorenzo Tonelli
Mirko Valdifiori
Riccardo Saponara
Nicolás Spolli
Alejandro Gómez
Mariano Izco
Danilo D'Ambrosio
Matteo Darmian
Angelo Ogbonna
Mirco Antenucci
Riccardo Meggiorini
Simone Verdi
Nicola Rigoni
Miguel Britos
Paolo Cannavaro
Federico Fernández
Blerim Džemaili
Marek Hamšík
Christian Maggio
Goran Pandev
Andrea Belotti
Khouma Babacar Cissé
Luca Antonelli
Emiliano Moretti
Marco Sampirisi
Davide Biondini
Miguel Veloso
Stefano Sturaro
Valter Birsa
Rodrigo Palacio
Daniele Maietta
Emil Hallfreðsson
Jorginho
Mattia D'Alessandro
Yohan Benalouane
Marco Parolo
Marco Capuano
Simone Romagnoli
Gianluca Caprari
Ciro Immobile
Lorenzo Insigne
Roberto Inglese
Daniele Baselli
Emanuele Schiavon
Francesco Ceccherini
Ivan Radovanović
Gianmarco Di Chiara
Fabrizio Cacciatore
Jasmin Kurtić
Luca Ceppitelli
Alexandru Stoian
Lorenzo Del Pinto
Matteo Cremonesi
Michele Rigione
Cristiano Biraghi
Diego Falcinelli
Marco Sau
Luca Antei
Keko
Niccolò Giannetti
Andrej Galabinov
Andrea Caracciolo
Mirko Büchel
Mário Rui
Pietro Iemmello
Matteo Gazzola
Isaac Cofie
Francesco Magnanelli
Simone Missiroli
Bryan Martella
Simone Zaza
Gianmaria Ferrari
Vincent Laurini
Ledian Memushaj
Ibrahima M'baye
Marco Benassi
Daniel Bessa
Alfred Duncan
Francesco Migliore
Alessandro Florenzi
Nicola Sansone
Fabio Lucioni
Gabriele Angella
Federico Ceravolo
Nicola Viola
Andrea Ragusa
Fabio Pisacane
Leonardo Mora
Armando Izzo
Davide Zappacosta
Leonardo Pavoletti
Moustapha Seck
Gregoire Defrel
Diego Farias
Lorenzo Rizzo
Marco Fossati
Francesco Zampano
Massimo Coda
Giovanni Letizia
Manuel Pucciarelli
Dejan Lovren
Samuel Umtiti
Maxime Gonalons
Alexandre Lacazette
Jérémy Pied
Mamadou Sakho
Blaise Matuidi
Kevin Gameiro
Sébastien Corchia
Ryad Boudebouz
Cédric Bakambu
Grzegorz Krychowiak
Jordan Veretout
Azpilicueta
Nicolas N'Koulou
Jordan Ayew
André Ayew
Loïc Rémy
